sku,handle,marca_etiqueta,acabado_codigo,diametro,anchura,pcd,et,buje,compatibilidad_proveedor_original,contiene_texto_chino
OYL260416241,oyl260416241-19-bmw,bmw,mg,19,9.5,5x112,35,66.5,BMW 5系7系,si
OYL260416242,oyl260416242-20-bmw,bmw,mb,20,9.5,5x120,35,72.56,BMW 5系7系,si
OYL260416243,oyl260416243-20-bmw,bmw,mb,20,8.5,5x112,30,66.5,BMW 5系7系,si
OYL260416244,oyl260416244-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x112,40,66.5,BENZ C级,si
OYL260416245,oyl260416245-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x114.3,38,73.1,BENZ C级,si
OYL260416246,oyl260416246-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x114.3,38,73.1,BENZ C级,si
OYL260416247,oyl260416247-22-bmw,bmw,mb,22,10.5,5x112,38,66.5,BMW X7,no
OYL260416248,oyl260416248-22-bmw,bmw,mb,22,10.5,5x120,38,74.1,BMW X7,no
OYL260416249,oyl260416249-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ E级,si
OYL260416250,oyl260416250-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,45,66.5,BENZ E级,si
OYL260416251,oyl260416251-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ E级,si
OYL260416252,oyl260416252-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ E级,si
OYL260416253,oyl260416253-17-bmw,bmw,mb,17,8.0,5x120,25,72.6,BMW M4 鸟巢,si
OYL260416254,oyl260416254-17-bmw,bmw,b,17,8.0,5x120,25,72.6,BMW M4 鸟巢,si
OYL260416255,oyl260416255-18-bmw,bmw,b,18,8.0,5x112,30,66.5,BMW 3/5系,si
OYL260416256,oyl260416256-18-bmw,bmw,b,18,9.0,5x112,35,66.5,BMW 3/5系,si
OYL260416257,oyl260416257-18-bmw,bmw,b,18,8.5,5x112,30,66.56,BMW 3/5系,si
OYL260416258,oyl260416258-19-audi,audi,mb,19,8.5,5x112,35,66.45,AUDIQ8,no
OYL260416259,oyl260416259-22-audi,audi,mb,22,10.0,5x112,25,66.45,AUDIQ8,no
OYL260416260,oyl260416260-19-audi,audi,b,19,8.5,5x112,35,66.5,AUDIA7,no
OYL260416261,oyl260416261-19-audi,audi,matte black,19,8.5,5x112,35,66.5,AUDIA7,no
OYL260416262,oyl260416262-19-audi,audi,b+p,19,8.5,5x112,35,66.5,AUDIA7,no
OYL260416263,oyl260416263-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIRS6/RS7-2024,no
OYL260416264,oyl260416264-20-audi,audi,b+p,20,9.0,5x112,30,66.45,AUDIRS6/RS7-2024,no
OYL260416265,oyl260416265-20-audi,audi,mb+x,20,9.0,5x112,30,66.45,AUDIA7,no
OYL260416266,oyl260416266-21-audi,audi,mb,21,9.0,5x112,25,66.45,AUDIRS6/RS7-2024,no
OYL260416267,oyl260416267-21-audi,audi,matte black,21,9.0,5x112,25,66.45,AUDIRS6/RS7-2024,no
OYL260416268,oyl260416268-21-audi,audi,mb+x,21,9.0,5x112,25,66.45,AUDIRS6/RS7-2024,no
OYL260416269,oyl260416269-21-audi,audi,b,21,9.0,5x112,25,66.45,AUDIRS6/RS7-2024,no
OYL260416270,oyl260416270-22-audi,audi,mb,22,10.0,5x112,25,66.45,AUDIRS6/RS7-2024,no
OYL260416271,oyl260416271-22-audi,audi,matte black,22,10.0,5x112,25,66.45,AUDIRS6/RS7-2024,no
OYL260416272,oyl260416272-22-audi,audi,mb+x,22,10.0,5x112,25,66.45,AUDIRS6/RS7-2024,no
OYL260416273,oyl260416273-22-audi,audi,b,22,10.0,5x112,20,66.45,AUDIRS6/RS7-2024,no
OYL260416274,oyl260416274-23-audi,audi,mb,23,10.0,5x112,20,66.5,AUDIRS6/RS7-2024,no
OYL260416275,oyl260416275-23-audi,audi,matte black,23,10.0,5x112,20,66.5,AUDIRS6/RS7-2024,no
OYL260416276,oyl260416276-18-audi,audi,mb,18,8.0,5x112,35,66.45,AUDIA7,no
OYL260416277,oyl260416277-18-audi,audi,b,18,8.0,5x112,35,66.45,AUDIA7,no
OYL260416278,oyl260416278-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIA7,no
OYL260416279,oyl260416279-20-audi,audi,b,20,9.0,5x112,30,66.45,AUDIA7,no
OYL260416280,oyl260416280-21-audi,audi,mb,21,9.0,5x112,30,66.45,AUDIA7,no
OYL260416281,oyl260416281-21-audi,audi,b,21,9.0,5x112,30,66.45,AUDIA7,no
OYL260416282,oyl260416282-18-bmw,bmw,mb,18,9.0,5x112,35,66.5,BMW 5系,si
OYL260416283,oyl260416283-18-bmw,bmw,b,18,9.0,5x120,35,72.56,BMW 5系,si
OYL260416284,oyl260416284-18-bmw,bmw,mb,18,8.5,5x112,30,66.56,BMW 5系,si
OYL260416285,oyl260416285-18-bmw,bmw,b,18,8.5,5x112,30,66.56,BMW 5系,si
OYL260416286,oyl260416286-19-bmw,bmw,mb,19,9.5,5x112,35,66.5,BMW 5系,si
OYL260416287,oyl260416287-19-bmw,bmw,mb,19,8.5,5x120,30,72.6,BMW 5系,si
OYL260416288,oyl260416288-19-bmw,bmw,mb,19,9.5,5x120,35,72.6,BMW 5系,si
OYL260416289,oyl260416289-19-bmw,bmw,b,19,9.5,5x120,35,72.6,BMW 5系,si
OYL260416290,oyl260416290-20-bmw,bmw,b,20,8.5,5x112,25,66.5,BMW M/改,si
OYL260416291,oyl260416291-20-bmw,bmw,b,20,9.5,5x112,35,66.5,BMW M/改,si
OYL260416292,oyl260416292-20-bmw,bmw,b,20,8.5,5x120,30,72.56,BMW 5系,si
OYL260416293,oyl260416293-20-bmw,bmw,b,20,9.5,5x120,35,72.56,BMW 5系,si
OYL260416294,oyl260416294-18-mercedes-benz,mercedes-benz,p,18,8.0,5x112,36,66.5,BENZ 迈巴赫,si
OYL260416295,oyl260416295-19-mercedes-benz,mercedes-benz,p,19,8.5,5x112,36,66.5,BENZ 迈巴赫,si
OYL260416296,oyl260416296-19-mercedes-benz,mercedes-benz,p,19,9.5,5x112,43,66.5,BENZ 迈巴赫,si
OYL260416297,oyl260416297-18-bmw,bmw,mb,18,8.5,5x120,30,72.6,BMW 5系,si
OYL260416298,oyl260416298-19-bmw,bmw,mb,19,8.5,5x112,30,66.5,BMW 5系,si
OYL260416299,oyl260416299-19-bmw,bmw,mb,19,9.5,5x112,35,66.5,BMW 5系,si
OYL260416300,oyl260416300-19-bmw,bmw,mb,19,8.5,5x120,30,72.6,BMW 5系,si
OYL260416301,oyl260416301-19-bmw,bmw,mb,19,9.5,5x120,35,72.6,BMW 5系,si
OYL260416302,oyl260416302-18-bmw,bmw,mb,18,9.0,5x120,35,72.6,BMW,no
OYL260416303,oyl260416303-19-bmw,bmw,mb,19,9.5,5x112,35,66.5,BMW,no
OYL260416304,oyl260416304-19-bmw,bmw,mb,19,8.5,5x120,30,72.6,BMW,no
OYL260416305,oyl260416305-19-bmw,bmw,mb,19,9.5,5x120,35,72.6,BMW,no
OYL260416306,oyl260416306-18-mercedes-benz,mercedes-benz,mb,18,8.0,5x112,36,66.5,BENZ AMG CLS欧版/改装,si
OYL260416307,oyl260416307-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ AMG CLS欧版/改装,si
OYL260416308,oyl260416308-19-mercedes-benz,mercedes-benz,mb,19,9.5,5x112,43,66.5,BENZ AMG CLS欧版/改装,si
OYL260416309,oyl260416309-19-bmw,bmw,b,19,8.5,5x120,30,72.6,BMW 1/2/3系,si
OYL260416310,oyl260416310-19-bmw,bmw,b,19,9.5,5x120,40,72.6,BMW 1/2/3系,si
OYL260416311,oyl260416311-19-bmw,bmw,matte black,19,8.5,5x120,30,72.6,BMW 1/2/3系,si
OYL260416312,oyl260416312-19-bmw,bmw,matte black,19,9.5,5x120,40,72.6,BMW 1/2/3系,si
OYL260416313,oyl260416313-20-bmw,bmw,b,20,8.5,5x120,30,72.6,BMW 1/2/3系,si
OYL260416314,oyl260416314-17-bmw,bmw,mg,17,8.0,5x120,25,72.6,BMW 7系,si
OYL260416315,oyl260416315-18-bmw,bmw,b,18,8.0,5x120,30,72.56,BMW M/改,si
OYL260416316,oyl260416316-18-bmw,bmw,b,18,9.0,5x120,35,72.56,BMW M/改,si
OYL260416317,oyl260416317-19-bmw,bmw,b,19,8.5,5x112,30,66.5,BMW 3/5系,si
OYL260416318,oyl260416318-19-bmw,bmw,b,19,9.5,5x112,35,66.5,BMW 3/5系,si
OYL260416319,oyl260416319-19-bmw,bmw,mb,19,9.5,5x120,35,72.6,BMW 3/5系,si
OYL260416320,oyl260416320-19-bmw,bmw,b,19,9.5,5x120,35,72.6,BMW 3/5系,si
OYL260416321,oyl260416321-20-bmw,bmw,b,20,8.5,5x112,25,66.5,BMW 3/5系,si
OYL260416322,oyl260416322-20-bmw,bmw,b,20,9.5,5x112,40,66.5,BMW 3/5系,si
OYL260416323,oyl260416323-20-bmw,bmw,b,20,8.5,5x120,30,72.6,BMW 3/5系,si
OYL260416324,oyl260416324-20-bmw,bmw,b,20,9.5,5x120,40,72.6,BMW 3/5系,si
OYL260416325,oyl260416325-20-bmw,bmw,mg,20,8.0,5x112,27,66.5,BMW X3-2023/改,si
OYL260416326,oyl260416326-20-bmw,bmw,mg,20,9.5,5x112,43,66.5,BMW X3-2023/改,si
OYL260416327,oyl260416327-20-bmw,bmw,b,20,8.0,5x112,27,66.5,BMW X3-2023/改,si
OYL260416328,oyl260416328-20-bmw,bmw,b,20,9.5,5x112,43,66.5,BMW X3-2023/改,si
OYL260416329,oyl260416329-17-volkswagen,volkswagen,mb,17,7.5,5x112,35,57.1,VWCC海外版19寸改18/改,si
OYL260416330,oyl260416330-19-volkswagen,volkswagen,mb,19,8.0,5x112,40,57.1,VWCC海外版19寸改18/改,si
OYL260416331,oyl260416331-20-volkswagen,volkswagen,mb,20,8.5,5x112,40,57.1,VWCC海外版19寸改18/改,si
OYL260416332,oyl260416332-21-mercedes-benz,mercedes-benz,mbi,21,9.5,5x112,30,66.5,BENZ EQS AMG-2024/改,si
OYL260416333,oyl260416333-21-mercedes-benz,mercedes-benz,mbi,21,10.0,5x112,48,66.5,BENZ EQS AMG-2024/改,si
OYL260416334,oyl260416334-19-audi,audi,matt gunmetal machine,19,8.5,5x112,40,66.45,AUDIRS3/改,si
OYL260416335,oyl260416335-20-audi,audi,matt gunmetal machine,20,8.5,5x112,30,66.45,AUDIRS3/改,si
OYL260416336,oyl260416336-20-audi,audi,mb,20,8.5,5x112,40,66.45,AUDI/改,si
OYL260416337,oyl260416337-20-bmw,bmw,mb,20,8.5,5x112,30,66.5,BMW 540i/改,si
OYL260416338,oyl260416338-20-bmw,bmw,mb,20,9.5,5x112,35,66.5,BMW 540i/改,si
OYL260416339,oyl260416339-19-bmw,bmw,mb,19,9.5,5x120,40,72.6,BMW M5新能源-2025/改,si
OYL260416340,oyl260416340-19-bmw,bmw,b,19,8.5,5x112,25,66.5,BMW M5新能源-2025/改,si
OYL260416341,oyl260416341-20-bmw,bmw,mb,20,8.5,5x112,25,66.5,BMW M5新能源-2025/改,si
OYL260416342,oyl260416342-20-bmw,bmw,b,20,9.5,5x112,40,72.6,BMW M5新能源-2025/改,si
OYL260416343,oyl260416343-19-mercedes-benz,mercedes-benz,miyb,19,9.5,5x112,43,66.5,BENZ E级/S级/改,si
OYL260416344,oyl260416344-20-mercedes-benz,mercedes-benz,miyb,20,8.5,5x112,36,66.5,BENZ E级/S级/改,si
OYL260416345,oyl260416345-20-mercedes-benz,mercedes-benz,miyb,20,9.5,5x112,43,66.5,BENZ E级/S级/改,si
OYL260416346,oyl260416346-18-mercedes-benz,mercedes-benz,mb,18,7.5,5x112,52,66.5,BENZ CLA200-18,no
OYL260416347,oyl260416347-19-bmw,bmw,ms,19,9.5,5x120,39,72.6,BMW 740/改,si
OYL260416348,oyl260416348-19-bmw,bmw,mg-d,19,9.5,5x112,39,66.5,BMW 730Li M-2021,no
OYL260416349,oyl260416349-17-volkswagen,volkswagen,mb,17,7.0,5x112,46,57.1,VW速腾-2023,si
OYL260416350,oyl260416350-19-audi,audi,mb,19,8.0,5x112,39,66.45,AUDIQ5,no
OYL260416351,oyl260416351-19-mercedes-benz,mercedes-benz,mb,19,8.5,5x112,36,66.5,BENZ E级海外版/改,si
OYL260416352,oyl260416352-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ E级海外版/改,si
OYL260416353,oyl260416353-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ E级海外版/改,si
OYL260416354,oyl260416354-19-volkswagen,volkswagen,g,19,8.0,5x112,40,57.1,VWCC黄金海岸版,si
OYL260416355,oyl260416355-19-volkswagen,volkswagen,mb,19,7.0,5x112,40,57.1,VW途观L/途观X-2021-2025,si
OYL260416356,oyl260416356-21-volkswagen,volkswagen,mb,21,9.0,5x112,34,57.1,VW揽境-2021-2024,si
OYL260416357,oyl260416357-17-mercedes-benz,mercedes-benz,miyb,17,7.5,5x112,35,66.5,BENZ AMG C63S/改,si
OYL260416358,oyl260416358-18-vehiculos-europeos,vehículos-europeos,miyb,18,8.0,5x112,40,66.45,Consultar,no
OYL260416359,oyl260416359-18-mercedes-benz,mercedes-benz,miyb,18,8.0,5x112,36,66.5,BENZ AMG C63S/改,si
OYL260416360,oyl260416360-19-mercedes-benz,mercedes-benz,miyb,19,8.5,5x112,38,66.5,BENZ AMG C63S/改,si
OYL260416361,oyl260416361-19-mercedes-benz,mercedes-benz,miyb,19,9.5,5x112,43,66.5,BENZ AMG C63S/改,si
OYL260416362,oyl260416362-20-mercedes-benz,mercedes-benz,miyb,20,8.5,5x112,36,66.5,BENZ AMG C63S/改,si
OYL260416363,oyl260416363-19-audi,audi,mb,19,8.5,5x112,40,66.5,AUDIA4L-2024/2025,no
OYL260416364,oyl260416364-20-audi,audi,matte black,20,9.0,5x112,30,66.45,AUDIRS6 Avant GT-2025,no
OYL260416365,oyl260416365-22-audi,audi,mbi+c,22,10.0,5x112,25,66.45,AUDIRS6 Avant GT-2025,no
OYL260416366,oyl260416366-22-audi,audi,w,22,10.0,5x112,25,66.45,AUDIRS6 Avant GT-2025,no
OYL260416367,oyl260416367-20-audi,audi,b,20,90.0,5x112,35,66.5,AUDIA6 Avant 海外版-2025/改）,si
OYL260416368,oyl260416368-21-audi,audi,b,21,9.0,5x112,25,66.5,AUDIA6 Avant 海外版-2025/改）,si
OYL260416369,oyl260416369-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIS5,no
OYL260416370,oyl260416370-21-audi,audi,mb,21,9.0,5x112,25,66.5,AUDISQ5/SQ7-2025/改,si
OYL260416371,oyl260416371-22-audi,audi,mb,22,10.0,5x112,25,66.5,AUDISQ5/SQ7-2025/改,si
OYL260416372,oyl260416372-19-audi,audi,mb,19,8.5,5x112,35,66.45,AUDIRS5 Avant-2025/改,si
OYL260416373,oyl260416373-20-audi,audi,mb,20,9.0,5x112,35,66.45,AUDIRS5 Avant-2025/改,si
OYL260416374,oyl260416374-20-audi,audi,ms,20,9.0,5x112,30,66.45,AUDIRS5 Avant-2025/改,si
OYL260416375,oyl260416375-20-vehiculos-europeos,vehículos-europeos,sgmf,20,9.0,5x112,35,66.6,Consultar,no
OYL260416376,oyl260416376-20-vehiculos-europeos,vehículos-europeos,sgmf,20,9.0,5x112,35,66.6,Consultar,no
OYL260416377,oyl260416377-21-audi,audi,mb,21,9.0,5x112,25,66.45,AUDIRS5 Avant-2025/改,si
OYL260416378,oyl260416378-21-vehiculos-europeos,vehículos-europeos,sgmf,21,9.0,5x112,35,66.6,Consultar,no
OYL260416379,oyl260416379-20-audi,audi,mb,20,9.0,5x112,30,66.45,AUDIS3-2021-22海外版/改）,si
OYL260416380,oyl260416380-18-volkswagen,volkswagen,mb,18,8.0,5x112,35,57.1,VW途观/高尔夫8 R-line/改,si
OYL260416381,oyl260416381-18-volkswagen,volkswagen,smh,18,8.0,5x112,35,57.1,VW途观/高尔夫8 R-line/改,si
OYL260416382,oyl260416382-19-volkswagen,volkswagen,mb,19,8.5,5x112,35,57.1,VW途观/高尔夫8 R-line/改,si
OYL260416383,oyl260416383-19-mercedes-benz,mercedes-benz,miyb,19,8.5,5x112,36,66.5,BENZ AMG C63,no
OYL260416384,oyl260416384-19-mercedes-benz,mercedes-benz,miyb,19,9.5,5x112,43,66.5,BENZ AMG C63,no
OYL260416385,oyl260416385-20-mercedes-benz,mercedes-benz,miyb,20,8.5,5x112,36,66.5,BENZ AMG C63,no
OYL260416386,oyl260416386-20-mercedes-benz,mercedes-benz,miyb,20,9.5,5x112,43,66.5,BENZ AMG C63,no
OYL260416387,oyl260416387-19-mercedes-benz,mercedes-benz,miyb,19,8.5,5x112,36,66.5,BENZ AMG CLE53-2024-25/改,si
OYL260416388,oyl260416388-20-mercedes-benz,mercedes-benz,miyb,20,8.5,5x112,36,66.5,BENZ AMG CLE53-2024-25/改,si
OYL260416389,oyl260416389-20-mercedes-benz,mercedes-benz,miyb,20,9.5,5x112,43,66.5,BENZ AMG CLE53-2024-25/改,si
OYL260416390,oyl260416390-17-volkswagen,volkswagen,mb,17,7.5,5x112,38,57.1,VW高尔夫R海外版-2025/改,si
OYL260416391,oyl260416391-19-mercedes-benz,mercedes-benz,miyb,19,8.5,5x112,36,66.5,BENZ AMG GT-2024/E350/改；,si
OYL260416392,oyl260416392-19-mercedes-benz,mercedes-benz,miyb,19,9.5,5x112,43,66.5,BENZ AMG GT-2024/E350/改；,si
OYL260416393,oyl260416393-20-mercedes-benz,mercedes-benz,miyb,20,8.5,5x112,36,66.5,BENZ AMG GT-2024/E350/改；,si
OYL260416394,oyl260416394-20-mercedes-benz,mercedes-benz,miyb,20,8.5,5x112,36,66.5,BENZ E/S/改,si
OYL260416395,oyl260416395-20-mercedes-benz,mercedes-benz,miyb,20,9.5,5x112,43,66.5,BENZ E/S/改,si
OYL260416396,oyl260416396-19-audi,audi,mb,19,8.5,5x112,35,66.5,AUDIRS3 Sportback-2025/改,si
OYL260416397,oyl260416397-20-mercedes-benz,mercedes-benz,mb,20,8.5,5x112,36,66.5,BENZ AMG G63-2025/改,si
OYL260416398,oyl260416398-20-mercedes-benz,mercedes-benz,mb,20,9.5,5x112,43,66.5,BENZ AMG G63-2025/改,si
OYL260416399,oyl260416399-20-mercedes-benz,mercedes-benz,mg,20,8.5,5x112,36,66.5,BENZ AMG G63-2025/改,si
OYL260416400,oyl260416400-20-mercedes-benz,mercedes-benz,mg,20,9.5,5x112,43,66.5,BENZ AMG G63-2025/改,si
OYL260416401,oyl260416401-22-mercedes-benz,mercedes-benz,mb,22,10.0,5x130,36,84.1,BENZ AMG G63-2025/改,si
OYL260416402,oyl260416402-22-mercedes-benz,mercedes-benz,matt black machined,22,10.0,5x130,36,84.1,BENZ AMG G63-2025/改,si
OYL260416403,oyl260416403-20-bmw,bmw,mb,20,9.0,5x112,24,66.5,BMW X3-2025/改,si
OYL260416404,oyl260416404-20-bmw,bmw,mb,20,10.5,5x112,44,66.5,BMW X3-2025/改,si
OYL260416405,oyl260416405-18-volkswagen,volkswagen,mb,18,8.0,5x112,40,57.1,VW高尔夫GTI-2025/改,si
OYL260416406,oyl260416406-20-bmw,bmw,mb,20,8.0,5x112,27,66.5,BMW X4 M40i-2022/改,si
OYL260416407,oyl260416407-20-bmw,bmw,mb,20,9.5,5x112,43,66.5,BMW X4 M40i-2022/改,si
OYL260416408,oyl260416408-20-bmw,bmw,mg,20,8.5,5x112,28,66.5,BMW 530Li-2025(尊享型M运动),si
OYL260416409,oyl260416409-20-bmw,bmw,mb,20,8.5,5x112,28,66.5,BMW 530Li-2025(尊享型M运动),si
OYL260416410,oyl260416410-20-bmw,bmw,mg,20,10.0,5x112,46,66.5,BMW 530Li-2025(尊享型M运动),si
OYL260416411,oyl260416411-20-bmw,bmw,mb,20,10.0,5x112,46,66.5,BMW 530Li-2025(尊享型M运动),si
OYL260416412,oyl260416412-21-bmw,bmw,mb,21,9.0,5x112,24,66.5,BMW 740Li-2023(领先/尊享豪华版),si
OYL260416413,oyl260416413-21-bmw,bmw,mb,21,10.5,5x112,44,66.5,BMW 740Li-2023(领先/尊享豪华版),si
OYL260416414,oyl260416414-21-bmw,bmw,gmf+chromeinsert,21,9.0,5x112,24,66.5,BMW 740Li-2023(领先/尊享豪华版),si
OYL260416415,oyl260416415-21-bmw,bmw,gmf+chromeinsert,21,10.5,5x112,44,66.5,BMW 740Li-2023(领先/尊享豪华版),si
OYL260416416,oyl260416416-21-mercedes-benz,mercedes-benz,mg,21,10.0,5x112,51,66.5,BENZ AMG GLE53-2025/改,si
OYL260416417,oyl260416417-21-mercedes-benz,mercedes-benz,mg,21,11.0,5x112,47,66.5,BENZ AMG GLE53-2025/改,si
OYL260416418,oyl260416418-22-mercedes-benz,mercedes-benz,mg,22,10.0,5x112,56,66.5,BENZ AMG GLE53-2025/改,si
OYL260416419,oyl260416419-22-mercedes-benz,mercedes-benz,mg,22,11.5,5x112,53,66.5,BENZ AMG GLE53-2025/改,si
OYL260416420,oyl260416420-20-bmw,bmw,mb,20,10.0,5x112,46,66.5,BMW i5 M60-2024,no
OYL260416421,oyl260416421-19-bmw,bmw,mb,19,8.0,5x112,27,66.5,BMW 3系-2025,si
OYL260416422,oyl260416422-19-bmw,bmw,mb,19,8.5,5x112,40,66.5,BMW 3系-2025,si
OYL260416423,oyl260416423-19-bmw,bmw,mb,19,8.0,5x112,27,66.5,BMW 3系-2025,si
OYL260416424,oyl260416424-19-bmw,bmw,mb,19,8.5,5x112,40,66.5,BMW 3系-2025,si
OYL260416425,oyl260416425-22-mercedes-benz,mercedes-benz,mb,22,11.5,5x112,53,66.5,BENZ AMG GLE Coupe-2024/ 改,si
OYL260416426,oyl260416426-19-mercedes-benz,mercedes-benz,mg,19,8.5,5x112,36,66.5,BENZ E/S级/改,si
OYL260416427,oyl260416427-19-mercedes-benz,mercedes-benz,mg,19,9.5,5x112,43,66.5,BENZ E/S级/改,si
OYL260416428,oyl260416428-20-mercedes-benz,mercedes-benz,mg,20,8.5,5x112,36,66.5,BENZ E/S级/改,si
OYL260416429,oyl260416429-20-mercedes-benz,mercedes-benz,mg,20,9.5,5x112,43,66.5,BENZ E/S级/改,si
OYL260416430,oyl260416430-20-bmw,bmw,mb,20,8.5,5x112,28,66.5,BMW 530Li-2025(尊享型M运动)BMW 520d-2024欧版,si
OYL260416431,oyl260416431-20-bmw,bmw,mb,20,10.0,5x112,46,66.5,BMW 530Li-2025(尊享型M运动)BMW 520d-2024欧版,si
OYL260416432,oyl260416432-21-mercedes-benz,mercedes-benz,mg,21,11.0,5x112,42,66.5,BENZ GLS/GLE 450豪华版-2025,si
OYL260416433,oyl260416433-22-mercedes-benz,mercedes-benz,mg,22,11.5,5x112,47,66.5,BENZ GLS/GLE 450豪华版-2025,si
OYL260416434,oyl260416434-18-volkswagen,volkswagen,mb,18,8.0,5x112,40,57.1,VW西雅特Seat Cupra/改,si
OYL260416435,oyl260416435-18-volkswagen,volkswagen,mb,18,8.0,5x112,40,57.1,VW高尔夫GTI / 改,si
OYL260416436,oyl260416436-18-volkswagen,volkswagen,mb,18,8.0,5x112,40,57.1,VW / 改,si
OYL260416437,oyl260416437-19-volkswagen,volkswagen,mb,19,8.0,5x112,40,57.1,VW / 改,si
OYL260416438,oyl260416438-20-bmw,bmw,mb,20,8.5,5x112,28,66.5,BMW 540i-2025(加拿大版)/改,si
OYL260416439,oyl260416439-20-bmw,bmw,mb,20,10.0,5x112,46,66.5,BMW 540i-2025(加拿大版)/改,si
