sku,handle,pista_original,traduccion_es,fiabilidad_traduccion,estado_traduccion,fragmentos_aplicados,notas,estado_pista,verificacion_tecnica,visible_para_el_cliente
OYL260416225,oyl260416225-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416226,oyl260416226-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416227,oyl260416227-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416235,oyl260416235-18-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416236,oyl260416236-18-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416237,oyl260416237-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416238,oyl260416238-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416239,oyl260416239-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416240,oyl260416240-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416241,oyl260416241-19-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416242,oyl260416242-20-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416243,oyl260416243-20-bmw,BMW 5系7系,BMW Serie 5 y Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416244,oyl260416244-18-mercedes-benz,BENZ C级,Mercedes-Benz Clase C,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416245,oyl260416245-18-mercedes-benz,BENZ C级,Mercedes-Benz Clase C,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416246,oyl260416246-18-mercedes-benz,BENZ C级,Mercedes-Benz Clase C,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416249,oyl260416249-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416250,oyl260416250-19-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416251,oyl260416251-20-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416252,oyl260416252-20-mercedes-benz,BENZ E级,Mercedes-Benz Clase E,alta,traducido,"([A-Z]{1,3})\s*级",,pista_ilegible,pendiente,no
OYL260416253,oyl260416253-17-bmw,BMW M4 鸟巢,"BMW M4 ""nido de pájaro""",baja,ambiguo,鸟巢,"鸟巢: Apodo del dibujo de los radios, no identifica ningún vehículo.",pista_ilegible,pendiente,no
OYL260416254,oyl260416254-17-bmw,BMW M4 鸟巢,"BMW M4 ""nido de pájaro""",baja,ambiguo,鸟巢,"鸟巢: Apodo del dibujo de los radios, no identifica ningún vehículo.",pista_ilegible,pendiente,no
OYL260416255,oyl260416255-18-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416256,oyl260416256-18-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416257,oyl260416257-18-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416282,oyl260416282-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416283,oyl260416283-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416284,oyl260416284-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416285,oyl260416285-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416286,oyl260416286-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416287,oyl260416287-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416288,oyl260416288-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416289,oyl260416289-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416290,oyl260416290-20-bmw,BMW M/改,BMW M/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416291,oyl260416291-20-bmw,BMW M/改,BMW M/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416292,oyl260416292-20-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416293,oyl260416293-20-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416294,oyl260416294-18-mercedes-benz,BENZ 迈巴赫,Mercedes-Benz Maybach,alta,traducido,迈巴赫,,pista_ilegible,pendiente,no
OYL260416295,oyl260416295-19-mercedes-benz,BENZ 迈巴赫,Mercedes-Benz Maybach,alta,traducido,迈巴赫,,pista_ilegible,pendiente,no
OYL260416296,oyl260416296-19-mercedes-benz,BENZ 迈巴赫,Mercedes-Benz Maybach,alta,traducido,迈巴赫,,pista_ilegible,pendiente,no
OYL260416297,oyl260416297-18-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416298,oyl260416298-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416299,oyl260416299-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416300,oyl260416300-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416301,oyl260416301-19-bmw,BMW 5系,BMW Serie 5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416306,oyl260416306-18-mercedes-benz,BENZ AMG CLS欧版/改装,Mercedes-Benz AMG CLS versión europea/conversión de posventa,media,traducido_mercado_chino,改装 欧版,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416307,oyl260416307-19-mercedes-benz,BENZ AMG CLS欧版/改装,Mercedes-Benz AMG CLS versión europea/conversión de posventa,media,traducido_mercado_chino,改装 欧版,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416308,oyl260416308-19-mercedes-benz,BENZ AMG CLS欧版/改装,Mercedes-Benz AMG CLS versión europea/conversión de posventa,media,traducido_mercado_chino,改装 欧版,改装: Vehículo modificado: las medidas de fábrica pueden no aplicar.,pista_ilegible,pendiente,no
OYL260416309,oyl260416309-19-bmw,BMW 1/2/3系,BMW Serie 1/2/3,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416310,oyl260416310-19-bmw,BMW 1/2/3系,BMW Serie 1/2/3,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416311,oyl260416311-19-bmw,BMW 1/2/3系,BMW Serie 1/2/3,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416312,oyl260416312-19-bmw,BMW 1/2/3系,BMW Serie 1/2/3,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416313,oyl260416313-20-bmw,BMW 1/2/3系,BMW Serie 1/2/3,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416314,oyl260416314-17-bmw,BMW 7系,BMW Serie 7,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416315,oyl260416315-18-bmw,BMW M/改,BMW M/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416316,oyl260416316-18-bmw,BMW M/改,BMW M/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416317,oyl260416317-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416318,oyl260416318-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416319,oyl260416319-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416320,oyl260416320-19-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416321,oyl260416321-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416322,oyl260416322-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416323,oyl260416323-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416324,oyl260416324-20-bmw,BMW 3/5系,BMW Serie 3/5,alta,traducido,([0-9]+(?:/[0-9]+)*)\s*系,,pista_ilegible,pendiente,no
OYL260416325,oyl260416325-20-bmw,BMW X3-2023/改,BMW X3-2023/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416326,oyl260416326-20-bmw,BMW X3-2023/改,BMW X3-2023/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416327,oyl260416327-20-bmw,BMW X3-2023/改,BMW X3-2023/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416328,oyl260416328-20-bmw,BMW X3-2023/改,BMW X3-2023/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416329,oyl260416329-17-volkswagen,VWCC海外版19寸改18/改,Volkswagen CC versión de exportación 19 cambio de diámetro 18/modificado,baja,ambiguo,海外版 寸改 改,海外版: Versión fuera de China; no necesariamente la europea. | 寸改: Indica una llanta de pulgadas distintas a las de fábrica. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416330,oyl260416330-19-volkswagen,VWCC海外版19寸改18/改,Volkswagen CC versión de exportación 19 cambio de diámetro 18/modificado,baja,ambiguo,海外版 寸改 改,海外版: Versión fuera de China; no necesariamente la europea. | 寸改: Indica una llanta de pulgadas distintas a las de fábrica. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416331,oyl260416331-20-volkswagen,VWCC海外版19寸改18/改,Volkswagen CC versión de exportación 19 cambio de diámetro 18/modificado,baja,ambiguo,海外版 寸改 改,海外版: Versión fuera de China; no necesariamente la europea. | 寸改: Indica una llanta de pulgadas distintas a las de fábrica. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416332,oyl260416332-21-mercedes-benz,BENZ EQS AMG-2024/改,Mercedes-Benz EQS AMG-2024/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416333,oyl260416333-21-mercedes-benz,BENZ EQS AMG-2024/改,Mercedes-Benz EQS AMG-2024/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416334,oyl260416334-19-audi,AUDIRS3/改,Audi RS3/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416335,oyl260416335-20-audi,AUDIRS3/改,Audi RS3/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416336,oyl260416336-20-audi,AUDI/改,AUDI/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416337,oyl260416337-20-bmw,BMW 540i/改,BMW 540i/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416338,oyl260416338-20-bmw,BMW 540i/改,BMW 540i/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416339,oyl260416339-19-bmw,BMW M5新能源-2025/改,BMW M5 energías nuevas (híbrido o eléctrico) -2025/modificado,baja,ambiguo,新能源 改,新能源: Categoría administrativa china: abarca híbrido enchufable y eléctrico. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416340,oyl260416340-19-bmw,BMW M5新能源-2025/改,BMW M5 energías nuevas (híbrido o eléctrico) -2025/modificado,baja,ambiguo,新能源 改,新能源: Categoría administrativa china: abarca híbrido enchufable y eléctrico. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416341,oyl260416341-20-bmw,BMW M5新能源-2025/改,BMW M5 energías nuevas (híbrido o eléctrico) -2025/modificado,baja,ambiguo,新能源 改,新能源: Categoría administrativa china: abarca híbrido enchufable y eléctrico. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416342,oyl260416342-20-bmw,BMW M5新能源-2025/改,BMW M5 energías nuevas (híbrido o eléctrico) -2025/modificado,baja,ambiguo,新能源 改,新能源: Categoría administrativa china: abarca híbrido enchufable y eléctrico. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416343,oyl260416343-19-mercedes-benz,BENZ E级/S级/改,Mercedes-Benz Clase E/Clase S/modificado,baja,ambiguo,"([A-Z]{1,3})\s*级 改",改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416344,oyl260416344-20-mercedes-benz,BENZ E级/S级/改,Mercedes-Benz Clase E/Clase S/modificado,baja,ambiguo,"([A-Z]{1,3})\s*级 改",改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416345,oyl260416345-20-mercedes-benz,BENZ E级/S级/改,Mercedes-Benz Clase E/Clase S/modificado,baja,ambiguo,"([A-Z]{1,3})\s*级 改",改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416347,oyl260416347-19-bmw,BMW 740/改,BMW 740/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416349,oyl260416349-17-volkswagen,VW速腾-2023,Volkswagen Sagitar -2023,media,traducido_mercado_chino,速腾,"速腾: Volkswagen Sagitar, del mercado chino; equivale al Jetta.",pista_ilegible,pendiente,no
OYL260416351,oyl260416351-19-mercedes-benz,BENZ E级海外版/改,Mercedes-Benz Clase E versión de exportación/modificado,baja,ambiguo,"([A-Z]{1,3})\s*级 海外版 改",海外版: Versión fuera de China; no necesariamente la europea. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416352,oyl260416352-20-mercedes-benz,BENZ E级海外版/改,Mercedes-Benz Clase E versión de exportación/modificado,baja,ambiguo,"([A-Z]{1,3})\s*级 海外版 改",海外版: Versión fuera de China; no necesariamente la europea. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416353,oyl260416353-20-mercedes-benz,BENZ E级海外版/改,Mercedes-Benz Clase E versión de exportación/modificado,baja,ambiguo,"([A-Z]{1,3})\s*级 海外版 改",海外版: Versión fuera de China; no necesariamente la europea. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416354,oyl260416354-19-volkswagen,VWCC黄金海岸版,Volkswagen CC edición Gold Coast,baja,ambiguo,黄金海岸版,黄金海岸版: Edición especial del mercado chino sin equivalente conocido en Europa.,pista_ilegible,pendiente,no
OYL260416355,oyl260416355-19-volkswagen,VW途观L/途观X-2021-2025,Volkswagen Tiguan L/Tiguan X-2021-2025,alta,traducido,途观,途观: Volkswagen Tiguan.,pista_ilegible,pendiente,no
OYL260416356,oyl260416356-21-volkswagen,VW揽境-2021-2024,Volkswagen Talagon -2021-2024,media,traducido_mercado_chino,揽境,"揽境: Volkswagen Talagon, SUV del mercado chino.",pista_ilegible,pendiente,no
OYL260416357,oyl260416357-17-mercedes-benz,BENZ AMG C63S/改,Mercedes-Benz AMG C63S/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416359,oyl260416359-18-mercedes-benz,BENZ AMG C63S/改,Mercedes-Benz AMG C63S/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416360,oyl260416360-19-mercedes-benz,BENZ AMG C63S/改,Mercedes-Benz AMG C63S/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416361,oyl260416361-19-mercedes-benz,BENZ AMG C63S/改,Mercedes-Benz AMG C63S/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416362,oyl260416362-20-mercedes-benz,BENZ AMG C63S/改,Mercedes-Benz AMG C63S/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416367,oyl260416367-20-audi,AUDIA6 Avant 海外版-2025/改）,Audi A6 Avant versión de exportación -2025/modificado ）,baja,ambiguo,海外版 改,海外版: Versión fuera de China; no necesariamente la europea. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416368,oyl260416368-21-audi,AUDIA6 Avant 海外版-2025/改）,Audi A6 Avant versión de exportación -2025/modificado ）,baja,ambiguo,海外版 改,海外版: Versión fuera de China; no necesariamente la europea. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416370,oyl260416370-21-audi,AUDISQ5/SQ7-2025/改,Audi SQ5/SQ7-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416371,oyl260416371-22-audi,AUDISQ5/SQ7-2025/改,Audi SQ5/SQ7-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416372,oyl260416372-19-audi,AUDIRS5 Avant-2025/改,Audi RS5 Avant-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416373,oyl260416373-20-audi,AUDIRS5 Avant-2025/改,Audi RS5 Avant-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416374,oyl260416374-20-audi,AUDIRS5 Avant-2025/改,Audi RS5 Avant-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416377,oyl260416377-21-audi,AUDIRS5 Avant-2025/改,Audi RS5 Avant-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416379,oyl260416379-20-audi,AUDIS3-2021-22海外版/改）,Audi S3-2021-22 versión de exportación/modificado ）,baja,ambiguo,海外版 改,海外版: Versión fuera de China; no necesariamente la europea. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416380,oyl260416380-18-volkswagen,VW途观/高尔夫8 R-line/改,Volkswagen Tiguan/Golf 8 R-line/modificado,baja,ambiguo,高尔夫 途观 改,高尔夫: Volkswagen Golf. | 途观: Volkswagen Tiguan. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416381,oyl260416381-18-volkswagen,VW途观/高尔夫8 R-line/改,Volkswagen Tiguan/Golf 8 R-line/modificado,baja,ambiguo,高尔夫 途观 改,高尔夫: Volkswagen Golf. | 途观: Volkswagen Tiguan. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416382,oyl260416382-19-volkswagen,VW途观/高尔夫8 R-line/改,Volkswagen Tiguan/Golf 8 R-line/modificado,baja,ambiguo,高尔夫 途观 改,高尔夫: Volkswagen Golf. | 途观: Volkswagen Tiguan. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416387,oyl260416387-19-mercedes-benz,BENZ AMG CLE53-2024-25/改,Mercedes-Benz AMG CLE53-2024-25/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416388,oyl260416388-20-mercedes-benz,BENZ AMG CLE53-2024-25/改,Mercedes-Benz AMG CLE53-2024-25/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416389,oyl260416389-20-mercedes-benz,BENZ AMG CLE53-2024-25/改,Mercedes-Benz AMG CLE53-2024-25/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416390,oyl260416390-17-volkswagen,VW高尔夫R海外版-2025/改,Volkswagen Golf R versión de exportación -2025/modificado,baja,ambiguo,海外版 高尔夫 改,海外版: Versión fuera de China; no necesariamente la europea. | 高尔夫: Volkswagen Golf. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416391,oyl260416391-19-mercedes-benz,BENZ AMG GT-2024/E350/改；,Mercedes-Benz AMG GT-2024/E350/modificado ；,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416392,oyl260416392-19-mercedes-benz,BENZ AMG GT-2024/E350/改；,Mercedes-Benz AMG GT-2024/E350/modificado ；,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416393,oyl260416393-20-mercedes-benz,BENZ AMG GT-2024/E350/改；,Mercedes-Benz AMG GT-2024/E350/modificado ；,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416394,oyl260416394-20-mercedes-benz,BENZ E/S/改,Mercedes-Benz E/S/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416395,oyl260416395-20-mercedes-benz,BENZ E/S/改,Mercedes-Benz E/S/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416396,oyl260416396-19-audi,AUDIRS3 Sportback-2025/改,Audi RS3 Sportback-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416397,oyl260416397-20-mercedes-benz,BENZ AMG G63-2025/改,Mercedes-Benz AMG G63-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416398,oyl260416398-20-mercedes-benz,BENZ AMG G63-2025/改,Mercedes-Benz AMG G63-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416399,oyl260416399-20-mercedes-benz,BENZ AMG G63-2025/改,Mercedes-Benz AMG G63-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416400,oyl260416400-20-mercedes-benz,BENZ AMG G63-2025/改,Mercedes-Benz AMG G63-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416401,oyl260416401-22-mercedes-benz,BENZ AMG G63-2025/改,Mercedes-Benz AMG G63-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416402,oyl260416402-22-mercedes-benz,BENZ AMG G63-2025/改,Mercedes-Benz AMG G63-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416403,oyl260416403-20-bmw,BMW X3-2025/改,BMW X3-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416404,oyl260416404-20-bmw,BMW X3-2025/改,BMW X3-2025/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416405,oyl260416405-18-volkswagen,VW高尔夫GTI-2025/改,Volkswagen Golf GTI-2025/modificado,baja,ambiguo,高尔夫 改,高尔夫: Volkswagen Golf. | 改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416406,oyl260416406-20-bmw,BMW X4 M40i-2022/改,BMW X4 M40i-2022/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416407,oyl260416407-20-bmw,BMW X4 M40i-2022/改,BMW X4 M40i-2022/modificado,baja,ambiguo,改,改: Por sí solo no dice qué se ha modificado.,pista_ilegible,pendiente,no
OYL260416408,oyl260416408-20-bmw,BMW 530Li-2025(尊享型M运动),BMW 530Li-2025( acabado Zunxiang M deportivo ),media,traducido_mercado_chino,尊享型 运动,尊享型: Nombre de acabado del mercado chino. | 运动: Acabado Sport.,pista_ilegible,pendiente,no
OYL260416409,oyl260416409-20-bmw,BMW 530Li-2025(尊享型M运动),BMW 530Li-2025( acabado Zunxiang M deportivo ),media,traducido_mercado_chino,尊享型 运动,尊享型: Nombre de acabado del mercado chino. | 运动: Acabado Sport.,pista_ilegible,pendiente,no
OYL260416410,oyl260416410-20-bmw,BMW 530Li-2025(尊享型M运动),BMW 530Li-2025( acabado Zunxiang M deportivo ),media,traducido_mercado_chino,尊享型 运动,尊享型: Nombre de acabado del mercado chino. | 运动: Acabado Sport.,pista_ilegible,pendiente,no
