familia,sku,titulo,handle,diametro,anchura,pcd,et,buje_mm,acabado_codigo_proveedor,pvp_actual_eur,peso_estimado_juego_kg,texto_alternativo_imagen,etiquetas,estado
SJW-038,OYL260416094,"SJW-038 – 17x7.5"" | 5x112 | Acabado MB+L",sjw-038-17x7-5-5x112-et35-mb-l,17,7.5,5x112,35,66.45,MB+L,699.00,40.0,"Llanta de aleación SJW-038, medida 17x7.5 pulgadas, anclaje 5x112",llantas|llantas-17|5x112|et-35|acabado-mb-l|diseno-sjw-038|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416286,"SJW-074 – 19x9.5"" | 5x112 | Acabado MB",sjw-074-19x9-5-5x112-et35-mb,19,9.5,5x112,35,66.5,MB,899.00,48.0,"Llanta de aleación SJW-074, medida 19x9.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-35|acabado-mb|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416288,"SJW-074 – 19x9.5"" | 5x120 | Acabado MB",sjw-074-19x9-5-5x120-et35-mb,19,9.5,5x120,35,72.6,MB,899.00,48.0,"Llanta de aleación SJW-074, medida 19x9.5 pulgadas, anclaje 5x120",llantas|llantas-19|5x120|et-35|acabado-mb|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416290,"SJW-074 – 20x8.5"" | 5x112 | Acabado B",sjw-074-20x8-5-5x112-et25-b,20,8.5,5x112,25,66.5,B,999.00,52.0,"Llanta de aleación SJW-074, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-25|acabado-b|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416292,"SJW-074 – 20x8.5"" | 5x120 | Acabado B",sjw-074-20x8-5-5x120-et30-b,20,8.5,5x120,30,72.56,B,999.00,52.0,"Llanta de aleación SJW-074, medida 20x8.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-30|acabado-b|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416291,"SJW-074 – 20x9.5"" | 5x112 | Acabado B",sjw-074-20x9-5-5x112-et35-b,20,9.5,5x112,35,66.5,B,999.00,52.0,"Llanta de aleación SJW-074, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-35|acabado-b|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-074,OYL260416293,"SJW-074 – 20x9.5"" | 5x120 | Acabado B",sjw-074-20x9-5-5x120-et35-b,20,9.5,5x120,35,72.56,B,999.00,52.0,"Llanta de aleación SJW-074, medida 20x9.5 pulgadas, anclaje 5x120",llantas|llantas-20|5x120|et-35|acabado-b|diseno-sjw-074|juego-de-4,BORRADOR (no activado)
SJW-124,OYL260416426,"SJW-124 – 19x8.5"" | 5x112 | Acabado MG",sjw-124-19x8-5-5x112-et36-mg,19,8.5,5x112,36,66.5,MG,899.00,48.0,"Llanta de aleación SJW-124, medida 19x8.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-36|acabado-mg|diseno-sjw-124|juego-de-4,BORRADOR (no activado)
SJW-124,OYL260416427,"SJW-124 – 19x9.5"" | 5x112 | Acabado MG",sjw-124-19x9-5-5x112-et43-mg,19,9.5,5x112,43,66.5,MG,899.00,48.0,"Llanta de aleación SJW-124, medida 19x9.5 pulgadas, anclaje 5x112",llantas|llantas-19|5x112|et-43|acabado-mg|diseno-sjw-124|juego-de-4,BORRADOR (no activado)
SJW-124,OYL260416428,"SJW-124 – 20x8.5"" | 5x112 | Acabado MG",sjw-124-20x8-5-5x112-et36-mg,20,8.5,5x112,36,66.5,MG,999.00,52.0,"Llanta de aleación SJW-124, medida 20x8.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-36|acabado-mg|diseno-sjw-124|juego-de-4,BORRADOR (no activado)
SJW-124,OYL260416429,"SJW-124 – 20x9.5"" | 5x112 | Acabado MG",sjw-124-20x9-5-5x112-et43-mg,20,9.5,5x112,43,66.5,MG,999.00,52.0,"Llanta de aleación SJW-124, medida 20x9.5 pulgadas, anclaje 5x112",llantas|llantas-20|5x112|et-43|acabado-mg|diseno-sjw-124|juego-de-4,BORRADOR (no activado)
