posicion,familia,puntuacion,p_imagen,p_ficha,p_medidas,p_pcd,p_precio,p_sku,p_estetica,p_stock,motivo,num_medidas,num_sku,diametros,pcds,acabados,marcas,calidad_imagenes,problemas,problemas_globales,estado_final
,wheel-design-110,52.6,6.0,14.0,5.6,5.0,10.0,10.0,2.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,19/20,5x112,MIYB,mercedes-benz,"mediana 300px, mínima 300px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-056,52.6,3.8,20.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,20/22,5x112,MB,audi,"mediana 188px, mínima 188px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-092,52.4,3.5,20.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,MG-D,bmw,"mediana 176px, mínima 176px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-129,52.3,9.5,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,18/19,5x112,MB,volkswagen,"mediana 476px, mínima 476px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-071,52.2,3.4,20.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,19/22,5x112,MB,audi,"mediana 168px, mínima 168px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-037,52.2,3.3,20.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,20,5x112,P,audi,"mediana 163px, mínima 163px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-045,52.1,3.6,14.0,7.5,5.0,10.0,10.0,2.0,0.0,Descartada: 5 imágenes por debajo de 800x800,4,5,19/20,5x112,CB P,mercedes-benz,"mediana 179px, mínima 179px",5 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 5 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-036,52.1,3.3,20.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 4 imágenes por debajo de 800x800,2,4,19/20,5x112,MB MG,audi,"mediana 167px, mínima 167px",solo 2 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-024,52.0,3.2,20.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 3 imágenes por debajo de 800x800,2,3,20/22,5x112,B MB,bmw,"mediana 158px, mínima 158px",solo 2 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-123,52.0,11.1,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,22,5x112,MB,mercedes-benz,"mediana 555px, mínima 555px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-026,51.9,3.1,20.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,18/19,5x112,MB,audi,"mediana 156px, mínima 156px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-017,51.9,3.0,20.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x120,S,bmw,"mediana 151px, mínima 151px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-003,51.8,2.9,20.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,17,5x112,S,audi,"mediana 147px, mínima 147px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-023,51.6,3.8,14.0,3.8,10.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 7 imágenes por debajo de 800x800,2,7,20,5x112 5x120,MB MG,bmw,"mediana 190px, mínima 190px",solo 2 medidas distintas; 7 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 7 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-001,51.6,2.7,20.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,S,mercedes-benz,"mediana 133px, mínima 133px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-004,51.5,2.6,20.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,S,audi,"mediana 131px, mínima 131px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-104,51.0,0.8,17.6,5.6,5.0,10.0,10.0,2.0,0.0,Descartada: solo 3 medidas distintas; 5 imágenes por debajo de 800x800,3,5,20/21,5x112,MB MS SGMF,audi,"mediana 39px, mínima 39px",solo 3 medidas distintas; 5 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-128,51.0,10.1,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 503px, mínima 503px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-118,50.9,6.1,14.0,3.8,5.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 4 imágenes por debajo de 800x800,2,4,21,5x112,GMF+CHROMEINSERT MB,bmw,"mediana 303px, mínima 303px",solo 2 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-057,50.8,4.3,14.0,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,19/20/21,5x112,B,mercedes-benz,"mediana 215px, mínima 215px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-090,50.7,3.8,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,mercedes-benz,"mediana 189px, mínima 189px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-094,50.7,3.8,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,MB,audi,"mediana 191px, mínima 191px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-108,50.5,3.9,14.0,5.6,5.0,10.0,10.0,2.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,19/20,5x112,MIYB,mercedes-benz,"mediana 193px, mínima 193px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-075,50.4,3.8,14.0,5.6,5.0,10.0,10.0,2.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,18/19,5x112,P,mercedes-benz,"mediana 190px, mínima 190px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-069,50.2,3.7,14.0,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,19/20,5x112,MB,mercedes-benz,"mediana 183px, mínima 183px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-002,50.2,3.3,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 167px, mínima 167px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-027,50.2,3.3,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,MB,audi,"mediana 167px, mínima 167px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-079,50.0,3.4,14.0,5.6,5.0,10.0,10.0,2.0,0.0,Descartada: solo 3 medidas distintas; 5 imágenes por debajo de 800x800,3,5,19/20,5x120,B MATTE BLACK,bmw,"mediana 172px, mínima 172px",solo 3 medidas distintas; 5 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 5 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-046,50.0,3.5,14.0,7.5,5.0,10.0,10.0,0.0,0.0,Descartada: 4 imágenes por debajo de 800x800,4,4,19/20,5x112,MB,mercedes-benz,"mediana 176px, mínima 176px",4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-006,49.7,2.8,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,17,5x112,MG,mercedes-benz,"mediana 138px, mínima 138px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-007,49.5,2.6,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 131px, mínima 131px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-009,49.5,2.6,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,MB,audi,"mediana 128px, mínima 128px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-008,49.4,2.5,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 126px, mínima 126px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-010,49.4,2.5,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 123px, mínima 123px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-117,49.1,6.3,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 4 imágenes por debajo de 800x800,2,4,20,5x112,MB MG,bmw,"mediana 315px, mínima 315px",solo 2 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-116,49.1,6.3,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,20,5x112,MB,bmw,"mediana 317px, mínima 317px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-114,48.9,6.1,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,20,5x112,MB,bmw,"mediana 304px, mínima 304px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-106,48.6,3.8,14.0,3.8,5.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 3 imágenes por debajo de 800x800,2,3,18/19,5x112,MB SMH,volkswagen,"mediana 192px, mínima 192px",solo 2 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-100,48.6,1.7,20.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,MB,audi,"mediana 83px, mínima 83px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 0 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-078,48.4,3.8,14.0,5.6,5.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,18/19,5x112,MB,mercedes-benz,"mediana 189px, mínima 189px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-085,48.4,3.6,14.0,3.8,5.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,19/20,5x112,MATT GUNMETAL MACHINE,audi,"mediana 178px, mínima 178px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-083,48.2,3.6,14.0,5.6,5.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,17/19/20,5x112,MB,volkswagen,"mediana 181px, mínima 181px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-051,48.1,3.3,14.0,3.8,5.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 4 imágenes por debajo de 800x800,2,4,18/19,5x112,B S,volkswagen,"mediana 165px, mínima 165px",solo 2 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-058,48.0,3.4,14.0,5.6,5.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,18/19,5x112,MB,mercedes-benz,"mediana 172px, mínima 172px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-095,48.0,3.4,14.0,5.6,5.0,10.0,10.0,0.0,0.0,Descartada: solo 3 medidas distintas; 3 imágenes por debajo de 800x800,3,3,19/20,5x112,MB,mercedes-benz,"mediana 172px, mínima 172px",solo 3 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-014,47.3,2.5,14.0,3.8,5.0,10.0,10.0,2.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,18,5x120,B S,bmw,"mediana 126px, mínima 126px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-115,47.3,6.4,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 318px, mínima 318px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-082,46.7,3.9,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 4 imágenes por debajo de 800x800,2,4,20,5x112,B MG,bmw,"mediana 194px, mínima 194px",solo 2 medidas distintas; 4 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 4 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-091,46.6,3.7,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x120,MS,bmw,"mediana 186px, mínima 186px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-063,46.5,3.7,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,20,5x112,MB,mercedes-benz,"mediana 186px, mínima 186px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-005,46.5,2.6,14.0,1.9,5.0,10.0,10.0,3.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,16,5x112,S,volkswagen,"mediana 131px, mínima 131px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-084,46.3,3.5,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,21,5x112,MBI,mercedes-benz,"mediana 177px, mínima 177px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-087,46.1,3.3,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 imágenes por debajo de 800x800,2,2,20,5x112,MB,bmw,"mediana 167px, mínima 167px",solo 2 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-096,46.1,3.2,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,G,volkswagen,"mediana 160px, mínima 160px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-034,46.0,3.2,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 3 imágenes por debajo de 800x800,2,3,17/19,5x120,B MB,bmw,"mediana 160px, mínima 160px",solo 2 medidas distintas; 3 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 3 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-033,46.0,3.1,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 2 imágenes por debajo de 800x800,1,2,18,5x112,MG MG-D,bmw,"mediana 156px, mínima 156px",solo 1 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-031,46.0,3.1,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,S,bmw,"mediana 156px, mínima 156px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-032,46.0,3.1,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x120,S,bmw,"mediana 156px, mínima 156px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
