sku,familia,handle,acabado_codigo_proveedor,archivo_imagen,huella_sha256_8,imagen_asignada_url,texto_alternativo,origen_de_la_correspondencia,resultado,nota
OYL260416159,SJW-048,sjw-048-19x8-5-5x120-et30-mb,MB,048.png,de7d7427,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-048_4c642a22-9fcd-4ddf-bbb0-c5e4c9575a5f.png,"Juego de llantas 19X8.5 BMW, referencia OYL260416159","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-048) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-048 corresponde al acabado MB.
OYL260416160,SJW-048,sjw-048-19x9-5-5x120-et35-mb,MB,048.png,de7d7427,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-048_b0187ab6-0094-4b27-9bae-b482a5b2ef67.png,"Juego de llantas 19X9.5 BMW, referencia OYL260416160","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-048) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-048 corresponde al acabado MB.
OYL260416161,SJW-048,sjw-048-20x8-5-5x112-et25-mb,MB,048.png,de7d7427,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-048_3a2fe9f0-4083-478e-a9cc-a2c06e16cd8f.png,"Juego de llantas 20X8.5 BMW, referencia OYL260416161","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-048) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-048 corresponde al acabado MB.
OYL260416162,SJW-048,sjw-048-20x8-5-5x120-et25-mb,MB,048.png,de7d7427,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-048_1fc97486-6f6d-4571-83c9-85792d432055.png,"Juego de llantas 20X8.5 BMW, referencia OYL260416162","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-048) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-048 corresponde al acabado MB.
OYL260416163,SJW-048,sjw-048-20x9-5-5x120-et35-mb,MB,048.png,de7d7427,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-048_f1cba944-b3c7-441f-9d66-91120db931d4.png,"Juego de llantas 20X9.5 BMW, referencia OYL260416163","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-048) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-048 corresponde al acabado MB.
OYL260416164,SJW-049,sjw-049-20x9-5-5x112-et40-mb,MB,049.png,95aad111,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-049_e32d1817-f946-4aa5-9706-fc8c273014e9.png,"Juego de llantas 20X9.5 BMW, referencia OYL260416164","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-049) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-049 corresponde al acabado MB.
OYL260416165,SJW-049,sjw-049-20x8-5-5x120-et25-mb,MB,049.png,95aad111,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-049_93f8e6e7-202e-4825-b3cd-c31820ac450d.png,"Juego de llantas 20X8.5 BMW, referencia OYL260416165","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-049) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-049 corresponde al acabado MB.
OYL260416166,SJW-049,sjw-049-20x9-5-5x120-et40-mb,MB,049.png,95aad111,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-049_b9c64bc8-86e8-4df5-a05c-8aad580b7838.png,"Juego de llantas 20X9.5 BMW, referencia OYL260416166","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-049) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-049 corresponde al acabado MB.
OYL260416167,SJW-049,sjw-049-21x9-0-5x112-et24-mb,MB,049.png,95aad111,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-049_452d7f94-caef-47f2-990f-4022d88e4517.png,"Juego de llantas 21X9.0 BMW, referencia OYL260416167","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-049) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-049 corresponde al acabado MB.
OYL260416168,SJW-049,sjw-049-21x10-5-5x112-et44-mb,MB,049.png,95aad111,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-049_626bd61f-948d-4869-9e22-a13ccf6e9d23.png,Juego de 4 llantas 21 pulgadas BMW – OYL260416168,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-049) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-049 corresponde al acabado MB.
OYL260416169,SJW-049,sjw-049-21x9-0-5x120-et24-mb,MB,049.png,95aad111,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-049_aa75d792-3c06-4802-8295-d48e6922ca64.png,"Juego de llantas 21X9.0 BMW, referencia OYL260416169","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-049) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-049 corresponde al acabado MB.
OYL260416170,SJW-049,sjw-049-21x10-5-5x120-et44-mb,MB,049.png,95aad111,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-049_d1e994a7-d74d-4b5c-8f21-2e50acd8147c.png,"Juego de llantas 21X10.5 BMW, referencia OYL260416170","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-049) coincide con la familia.",Correcta,El proveedor facilita una sola imagen por diseño; la de SJW-049 corresponde al acabado MB.
OYL260416201,SJW-059,sjw-059-19x8-0-5x112-et30-b,B,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_44eb7d5a-b4c0-48f4-815b-f7b007b496d3.png,"Juego de llantas 19X8.0 BMW, referencia OYL260416201","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416202,SJW-059,sjw-059-19x9-0-5x120-et35-b,B,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_8a668226-3815-4307-b4ce-739458f978dc.png,"Juego de llantas 19X9.0 BMW, referencia OYL260416202","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416203,SJW-059,sjw-059-20x8-5-5x112-et30-b,B,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_68f9a27e-5f92-4ec3-ba6f-32aff63b6ed1.png,"Juego de llantas 20X8.5 BMW, referencia OYL260416203","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416204,SJW-059,sjw-059-20x9-5-5x112-et35-b,B,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_c78cd375-a57f-4af2-a0a0-e321c8ec1c91.png,"Juego de llantas 20X9.5 BMW, referencia OYL260416204","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416205,SJW-059,sjw-059-20x8-5-5x112-et30-mb,MB,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_1b1b892e-b09b-4341-85f8-cd1275dee947.png,"Juego de llantas 20X8.5 BMW, referencia OYL260416205","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416206,SJW-059,sjw-059-20x9-5-5x112-et35-mb,MB,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_741b3fa3-a1b2-49e9-b4e1-103b33976c21.png,Juego de 4 llantas 20 pulgadas BMW – OYL260416206,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416207,SJW-059,sjw-059-20x8-5-5x120-et30-b,B,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_3a821004-637b-4f4e-a653-cac3da3218f3.png,Juego de 4 llantas 20 pulgadas BMW – OYL260416207,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416208,SJW-059,sjw-059-20x9-5-5x120-et35-b,B,059.png,fc32acc6,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-059_0ec7c1fe-1dd5-48f7-a961-c07e990af93f.png,Juego de 4 llantas 20 pulgadas BMW – OYL260416208,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-059) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-059 corresponde al acabado B.
OYL260416282,SJW-074,sjw-074-18x9-0-5x112-et35-mb,MB,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_a3f9f847-72de-4284-bb5b-26cc39f8a869.png,"Juego de llantas 18X9.0 BMW, referencia OYL260416282","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416283,SJW-074,sjw-074-18x9-0-5x120-et35-b,B,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_09ec3487-74db-4680-aca9-d13d2795575f.png,"Juego de llantas 18X9.0 BMW, referencia OYL260416283","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416284,SJW-074,sjw-074-18x8-5-5x112-et30-mb,MB,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_7274f44d-93be-4ce3-9c14-9d63b5ef19e4.png,Juego de 4 llantas 18 pulgadas BMW – OYL260416284,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416285,SJW-074,sjw-074-18x8-5-5x112-et30-b,B,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_89b5b4c7-0934-40c1-9ace-373cfa8997f4.png,"Juego de llantas 18X8.5 BMW, referencia OYL260416285","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416286,SJW-074,sjw-074-19x9-5-5x112-et35-mb,MB,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_d449e51c-e9ff-4da9-9d69-ae39f7abcdcb.png,"Juego de llantas 19X9.5 BMW, referencia OYL260416286","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416287,SJW-074,sjw-074-19x8-5-5x120-et30-mb,MB,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_05f4dec7-24aa-4844-b14b-30ea358d7475.png,"Juego de llantas 19X8.5 BMW, referencia OYL260416287","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416288,SJW-074,sjw-074-19x9-5-5x120-et35-mb,MB,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_8ffc30e9-86cb-4be9-91ed-7f39475c7029.png,"Juego de llantas 19X9.5 BMW, referencia OYL260416288","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416289,SJW-074,sjw-074-19x9-5-5x120-et35-b,B,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_742a9421-9264-4903-8470-3a163b352a4b.png,"Juego de llantas 19X9.5 BMW, referencia OYL260416289","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416290,SJW-074,sjw-074-20x8-5-5x112-et25-b,B,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_49652d20-0db4-44ea-99b5-08980fcafe8f.png,Juego de 4 llantas 20 pulgadas BMW – OYL260416290,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416291,SJW-074,sjw-074-20x9-5-5x112-et35-b,B,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_e4f3dd5e-1311-406b-aec8-08fe6bf9eaf8.png,"Juego de llantas 20X9.5 BMW, referencia OYL260416291","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416292,SJW-074,sjw-074-20x8-5-5x120-et30-b,B,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_e6ef3fd8-918e-4b5e-9f95-6c6be0785d61.png,"Juego de llantas 20X8.5 BMW, referencia OYL260416292","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416293,SJW-074,sjw-074-20x9-5-5x120-et35-b,B,074.png,854d01e2,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-074_0d204286-a9a5-4245-b294-410c4f12e880.png,"Juego de llantas 20X9.5 BMW, referencia OYL260416293","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-074) coincide con la familia.",Referencia de otro acabado (render 3D),El proveedor facilita una sola imagen por diseño; la de SJW-074 corresponde al acabado MB.
OYL260416426,SJW-124,sjw-124-19x8-5-5x112-et36-mg,MG,124.png,73ff3b57,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-124_6e35c3dd-74de-45a0-8e76-7e63def56736.png,Juego de 4 llantas 19 pulgadas Mercedes-Benz – OYL260416426,"Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-124) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-124 corresponde al acabado MG.
OYL260416427,SJW-124,sjw-124-19x9-5-5x112-et43-mg,MG,124.png,73ff3b57,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-124_0a7e9816-c19a-4a34-a1e4-554383cedc0b.png,"Juego de llantas 19X9.5 Mercedes-Benz, referencia OYL260416427","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-124) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-124 corresponde al acabado MG.
OYL260416428,SJW-124,sjw-124-20x8-5-5x112-et36-mg,MG,124.png,73ff3b57,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-124_a9deacff-2e66-4c83-8823-ab7f1b0e2d2d.png,"Juego de llantas 20X8.5 Mercedes-Benz, referencia OYL260416428","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-124) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-124 corresponde al acabado MG.
OYL260416429,SJW-124,sjw-124-20x9-5-5x112-et43-mg,MG,124.png,73ff3b57,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-124_7b74aef7-40fb-4d6f-a27a-b405bc4a8e49.png,"Juego de llantas 20X9.5 Mercedes-Benz, referencia OYL260416429","Archivo original del propietario, sin cambios: la URL de la auditoría inicial (data/auditoria-productos-publicacion-inicial.csv) coincide con la asignada hoy en Shopify; el nombre del archivo (wheel-design-124) coincide con la familia.","Correcta (render 3D, no fotografía)",El proveedor facilita una sola imagen por diseño; la de SJW-124 corresponde al acabado MG.
