familia,sku,medida,peso_neto_por_llanta_kg,peso_del_juego_kg,numero_de_cajas,peso_bruto_por_caja_kg,dimensiones_por_caja_cm,estimacion_interna_kg,origen_de_la_estimacion,campo_peso_de_la_variante_en_shopify
SJW-074,OYL260416283,18x9.0 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416282,18x9.0 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),44.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",44.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416287,19x8.5 5x120 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416289,19x9.5 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416286,19x9.5 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416288,19x9.5 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416290,20x8.5 5x112 ET25,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416292,20x8.5 5x120 ET30,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416291,20x9.5 5x112 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-074,OYL260416293,20x9.5 5x120 ET35,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-124,OYL260416426,19x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-124,OYL260416427,19x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),48.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",48.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-124,OYL260416428,20x8.5 5x112 ET36,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
SJW-124,OYL260416429,20x9.5 5x112 ET43,PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),PENDIENTE (proveedor),52.0,"Calculada por SJ Wheels a partir del diámetro (36 kg a 16"" y +4 kg por pulgada). No es medición, no es peso embalado y no debe usarse para cotizar transporte.",52.0 kg (sin tocar; es el que usaría una tarifa por peso)
